0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/dist/css/adminlte.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/summernote/summernote-bs4.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-ui/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/chart.js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/sparklines/sparkline.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/jquery.vmap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jqvmap/maps/jquery.vmap.usa.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/jquery-knob/jquery.knob.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/moment/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Jul/2023:15:20:51 +0300] "GET /basic-webapp/adminpanel/plugins/tempusdominus-bootstrap-4/js/tempusdominus-bootstrap-4.min.js HTTP/1.1" 304 -
